8.1;.073056;.074782;.339777;.795;.035;.003;.741;19.552759
8.2;.075549;.071809;.334983;.795;.035;.003;.78;19.553398
8.3;.076987;.069125;.329327;.795;.035;.003;.765;19.554954
8.4;.077754;.06692;.322903;.795;.035;.003;.799;19.556729
8.5;.077466;.065482;.315712;.795;.035;.003;.799;19.559031
8.6;.076411;.064715;.308138;.795;.035;.003;.808;19.5616
8.7;.074302;.064811;.300277;.795;.035;.003;.788;19.564593
8.8;.071522;.065482;.292703;.795;.035;.003;.817;19.56771
8.9;.06807;.06692;.285129;.884;.15;.211;.805;19.675089
9.;.064907;.068454;.278418;.884;.15;.211;.817;19.677188
9.1;.062414;.069796;.272569;.884;.15;.211;.801;19.678486
9.2;.060976;.070851;.267488;.884;.15;.211;.812;19.678772
9.3;.060976;.07133;.263365;.884;.15;.211;.777;19.678101
9.4;.061934;.071234;.260201;.884;.15;.211;.782;19.677074
9.5;.063852;.070563;.257996;.884;.15;.211;.752;19.675636
9.6;.066536;.069413;.256558;.884;.15;.211;.758;19.673775
9.7;.070851;.067975;.2556;.884;.15;.211;.729;19.669882
9.8;.076699;.066441;.254737;.884;.15;.211;.752;19.663412
9.9;.08389;.065002;.253682;.937;.132;-.148;.73;19.723504
10.;.090409;.064235;.252052;.937;.132;-.148;.752;19.713251
10.1;.095394;.06414;.249655;.937;.132;-.148;.75;19.704218
10.2;.098079;.065002;.246492;.937;.132;-.148;.778;19.697987
10.3;.098462;.066536;.242752;.937;.132;-.148;.78;19.695252
10.4;.096161;.068646;.23863;.937;.132;-.148;.814;19.696864
10.5;.09108;.071042;.234411;.937;.132;-.148;.806;19.70296
10.6;.084081;.073535;.230097;.937;.132;-.148;.831;19.711513
10.7;.075836;.076028;.22607;.937;.132;-.148;.808;19.720857
10.8;.067879;.078233;.222619;.937;.132;-.148;.814;19.728794
10.9;.060113;.08015;.219647;.985;.086;.016;.79;19.601288
11.;.05436;.081397;.217825;.985;.086;.016;.804;19.605772
